"","yearID","teamID","lgID","Rank","G","W","L","winpercent","playoffs","payroll","dolperwin","mlbpayroll","avgpayroll","percentofmlb","mlbwin","mlbdolperwin","payrank","paydiff","percentdiff","winpercentdiff","percentofmlbdiff","payincreased","winincreased","percentofmlbincreased","payrankdiff","payrankincreased"
"18","2007","ARI","NL",1,162,90,72,0.556,"Y",52067546,578528.288888889,2476688987,82556299.5666667,0.021,2431,1018794.31797614,26,-7616680,-0.1276,0.0870000000000001,-0.0047,"No","Yes","No",3,"Yes"
"19","2008","ARI","NL",2,162,82,80,0.506,"N",66202712,807350.146341463,2684858670,89495289,0.0247,2428,1105790.22652389,23,14135166,0.2715,-0.05,0.0037,"Yes","No","Yes",-3,"No"
"20","2009","ARI","NL",5,162,70,92,0.432,"N",73115666,1044509.51428571,2664726994,88824233.1333333,0.0274,2430,1096595.47078189,20,6912954,0.1044,-0.074,0.0027,"Yes","No","Yes",-3,"No"
"21","2010","ARI","NL",5,162,65,97,0.401,"N",60718166,934125.630769231,2721359865,90711995.5,0.0223,2430,1119901.17901235,25,-12397500,-0.1696,-0.031,-0.0051,"No","No","No",5,"Yes"
"22","2011","ARI","NL",1,162,94,68,0.58,"Y",53639833,570636.521276596,2784505291,92816843.0333333,0.0193,2429,1146358.70358172,25,-7078333,-0.1166,0.179,-0.003,"No","Yes","No",0,"No"
"23","2012","ARI","NL",3,162,81,81,0.5,"N",73804833,911170.777777778,2932741192,97758039.7333333,0.0252,2430,1206889.37942387,24,20165000,0.3759,-0.08,0.0059,"Yes","No","Yes",-1,"No"
"24","2013","ARI","NL",2,162,81,81,0.5,"N",90132000,1112740.74074074,3034525648,101150854.933333,0.0297,2431,1248262.29864253,15,16327167,0.2212,0,0.0045,"Yes","No","Yes",-9,"No"
"25","2014","ARI","NL",5,162,64,98,0.395,"N",97861500,1529085.9375,3192317623,106410587.433333,0.0307,2430,1313710.95596708,15,7729500,0.0858,-0.105,0.001,"Yes","No","Yes",0,"No"
"26","2015","ARI","NL",3,162,79,83,0.488,"N",61834000,782708.860759494,3514142569,117138085.633333,0.0176,2429,1446744.57348703,30,-36027500,-0.3681,0.093,-0.0131,"No","Yes","No",15,"Yes"
"27","2016","ARI","NL",4,162,69,93,0.426,"N",87439063,1267232.79710145,3750137392,125004579.733333,0.0233,2427,1545174.03873094,23,25605063,0.4141,-0.062,0.0057,"Yes","No","Yes",-7,"No"
"28","1985","ATL","NL",5,162,66,96,0.407,"N",14807000,224348.484848485,261964696,10075565.2307692,0.0565,2101,124685.719181342,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1986","ATL","NL",6,161,72,89,0.447,"N",17102786,237538.694444444,307854518,11840558.3846154,0.0556,2102,146457.905803996,3,2295786,0.155,0.04,-0.000900000000000005,"Yes","Yes","No",2,"Yes"
"30","1987","ATL","NL",5,161,69,92,0.429,"N",16544560,239776.231884058,272575375,10483668.2692308,0.0607,2105,129489.489311164,2,-558226,-0.0326,-0.018,0.0051,"No","No","Yes",-1,"No"
"31","1988","ATL","NL",6,160,54,106,0.338,"N",12728174,235706.925925926,300452424,11555862.4615385,0.0424,2098,143208.972354623,11,-3816386,-0.2307,-0.091,-0.0183,"No","No","No",9,"Yes"
"32","1989","ATL","NL",6,161,63,97,0.394,"N",11112334,176386.253968254,359995711,13845988.8846154,0.0309,2103,171181.983357109,19,-1615840,-0.1269,0.056,-0.0115,"No","Yes","No",8,"Yes"
"33","1990","ATL","NL",6,162,65,97,0.401,"N",14555501,223930.784615385,443881193,17072353.5769231,0.0328,2105,210869.925415677,19,3443167,0.3099,0.00700000000000001,0.0019,"Yes","Yes","Yes",0,"No"
"34","1991","ATL","NL",1,162,94,68,0.58,"Y",18403500,195781.914893617,613048418,23578785.3076923,0.03,2104,291372.822243346,19,3847999,0.2644,0.179,-0.0028,"Yes","Yes","No",0,"No"
"35","1992","ATL","NL",1,162,98,64,0.605,"Y",34625333,353319.724489796,805543323,30982435.5,0.043,2106,382499.203703704,9,16221833,0.8815,0.025,0.013,"Yes","Yes","Yes",-10,"No"
"36","1993","ATL","NL",1,162,104,58,0.642,"Y",41641417,400398.240384615,901740134,32205004.7857143,0.0462,2268,397592.651675485,4,7016084,0.2026,0.037,0.0032,"Yes","Yes","Yes",-5,"No"
"37","1994","ATL","NL",2,114,68,46,0.596,"N",49383513,726228.132352941,927836287,33137010.25,0.0532,1599,580260.342088806,1,7742096,0.1859,-0.046,0.007,"Yes","No","Yes",-3,"No"
"38","1995","ATL","NL",1,144,90,54,0.625,"Y",47235445,524838.277777778,951469367,33981048.8214286,0.0496,2016,471959.01140873,3,-2148068,-0.0435,0.029,-0.0036,"No","Yes","No",2,"Yes"
"39","1996","ATL","NL",1,162,96,66,0.593,"Y",49698500,517692.708333333,956983550,34177983.9285714,0.0519,2266,422322.837599294,3,2463055,0.0521,-0.032,0.0023,"Yes","No","Yes",0,"No"
"40","1997","ATL","NL",1,162,101,61,0.623,"Y",52278500,517608.910891089,1127285885,40260210.1785714,0.0464,2266,497478.325242718,6,2580000,0.0519,0.03,-0.0055,"Yes","Yes","No",3,"Yes"
"41","1998","ATL","NL",1,162,106,56,0.654,"Y",61186000,577226.41509434,1278282871,42609429.0333333,0.0479,2430,526042.333744856,3,8907500,0.1704,0.031,0.0015,"Yes","Yes","Yes",-3,"No"
"42","1999","ATL","NL",1,162,103,59,0.636,"Y",73140000,710097.087378641,1494228750,49807625,0.0489,2427,615669.035846724,5,11954000,0.1954,-0.018,0.001,"Yes","No","Yes",2,"Yes"
"43","2000","ATL","NL",1,162,95,67,0.586,"Y",84537836,889871.957894737,1666135102,55537836.7333333,0.0507,2428,686217.093080725,3,11397836,0.1558,-0.05,0.0018,"Yes","No","Yes",-2,"No"
"44","2001","ATL","NL",1,162,88,74,0.543,"Y",91936166,1044729.15909091,1960663313,65355443.7666667,0.0469,2428,807521.957578254,6,7398330,0.0875,-0.0429999999999999,-0.0038,"Yes","No","No",3,"Yes"
"45","2002","ATL","NL",1,161,101,59,0.631,"Y",92870367,919508.584158416,2024077522,67469250.7333333,0.0459,2425,834671.143092784,7,934201,0.0102,0.088,-0.000999999999999994,"Yes","Yes","No",1,"Yes"
"46","2003","ATL","NL",1,162,101,61,0.623,"Y",106243667,1051917.49504951,2128262128,70942070.9333333,0.0499,2429,876188.607657472,3,13373300,0.144,-0.00800000000000001,0.004,"Yes","No","Yes",-4,"No"
"47","2004","ATL","NL",1,162,96,66,0.593,"Y",90182500,939401.041666667,2070665943,69022198.1,0.0436,2428,852827.818369028,8,-16061167,-0.1512,-0.03,-0.0063,"No","No","No",5,"Yes"
"48","2005","ATL","NL",1,162,90,72,0.556,"Y",86457302,960636.688888889,2188713398,72957113.2666667,0.0395,2430,900705.102057613,10,-3725198,-0.0413,-0.0369999999999999,-0.0041,"No","No","No",2,"Yes"
"49","2006","ATL","NL",3,162,79,83,0.488,"N",90156876,1141226.27848101,2321472617,77382420.5666667,0.0388,2429,955731.830794566,8,3699574,0.0428,-0.0680000000000001,-0.000699999999999999,"Yes","No","No",-2,"No"
"50","2007","ATL","NL",3,162,84,78,0.519,"N",87290833,1039176.58333333,2476688987,82556299.5666667,0.0352,2431,1018794.31797614,15,-2866043,-0.0318,0.031,-0.0036,"No","Yes","No",7,"Yes"
"51","2008","ATL","NL",4,162,72,90,0.444,"N",102365683,1421745.59722222,2684858670,89495289,0.0381,2428,1105790.22652389,10,15074850,0.1727,-0.075,0.0029,"Yes","No","Yes",-5,"No"
"52","2009","ATL","NL",3,162,86,76,0.531,"N",96726166,1124722.86046512,2664726994,88824233.1333333,0.0363,2430,1096595.47078189,11,-5639517,-0.0551,0.087,-0.0018,"No","Yes","No",1,"Yes"
"53","2010","ATL","NL",2,162,91,71,0.562,"Y",84423666,927732.593406593,2721359865,90711995.5,0.031,2430,1119901.17901235,15,-12302500,-0.1272,0.031,-0.0053,"No","Yes","No",4,"Yes"
"54","2011","ATL","NL",2,162,89,73,0.549,"N",87002692,977558.337078652,2784505291,92816843.0333333,0.0312,2429,1146358.70358172,15,2579026,0.0305,-0.013,0.000199999999999999,"Yes","No","Yes",0,"No"
"55","2012","ATL","NL",2,162,94,68,0.58,"Y",82829942,881169.595744681,2932741192,97758039.7333333,0.0282,2430,1206889.37942387,16,-4172750,-0.048,0.0309999999999999,-0.003,"No","Yes","No",1,"Yes"
"56","2013","ATL","NL",1,162,96,66,0.593,"Y",87871525,915328.385416667,3034525648,101150854.933333,0.029,2431,1248262.29864253,16,5041583,0.0609,0.013,0.000800000000000002,"Yes","Yes","Yes",0,"No"
"57","2014","ATL","NL",2,162,79,83,0.488,"N",97609000,1235556.96202532,3192317623,106410587.433333,0.0306,2430,1313710.95596708,16,9737475,0.1108,-0.105,0.0016,"Yes","No","Yes",0,"No"
"58","2015","ATL","NL",4,162,67,95,0.414,"N",71781250,1071361.94029851,3514142569,117138085.633333,0.0204,2429,1446744.57348703,27,-25827750,-0.2646,-0.074,-0.0102,"No","No","No",11,"Yes"
"59","2016","ATL","NL",5,161,68,93,0.422,"N",68498291,1007327.80882353,3750137392,125004579.733333,0.0183,2427,1545174.03873094,28,-3282959,-0.0457,0.00800000000000001,-0.0021,"No","Yes","No",1,"Yes"
"60","1985","BAL","AL",4,161,83,78,0.516,"N",11560712,139285.686746988,261964696,10075565.2307692,0.0441,2101,124685.719181342,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1986","BAL","AL",7,162,73,89,0.451,"N",13001258,178099.424657534,307854518,11840558.3846154,0.0422,2102,146457.905803996,9,1440546,0.1246,-0.065,-0.0019,"Yes","No","No",3,"Yes"
"62","1987","BAL","AL",6,162,67,95,0.414,"N",13900273,207466.76119403,272575375,10483668.2692308,0.051,2105,129489.489311164,4,899015,0.0691,-0.037,0.0088,"Yes","No","Yes",-5,"No"
"63","1988","BAL","AL",7,161,54,107,0.335,"N",13532075,250593.981481481,300452424,11555862.4615385,0.045,2098,143208.972354623,7,-368198,-0.0265,-0.079,-0.006,"No","No","No",3,"Yes"
"64","1989","BAL","AL",2,162,87,75,0.537,"N",8275167,95116.8620689655,359995711,13845988.8846154,0.023,2103,171181.983357109,25,-5256908,-0.3885,0.202,-0.022,"No","Yes","No",18,"Yes"
"65","1990","BAL","AL",5,161,76,85,0.472,"N",9680084,127369.526315789,443881193,17072353.5769231,0.0218,2105,210869.925415677,25,1404917,0.1698,-0.0650000000000001,-0.0012,"Yes","No","No",0,"No"
"66","1991","BAL","AL",6,162,67,95,0.414,"N",17519000,261477.611940299,613048418,23578785.3076923,0.0286,2104,291372.822243346,22,7838916,0.8098,-0.058,0.0068,"Yes","No","Yes",-3,"No"
"67","1992","BAL","AL",3,162,89,73,0.549,"N",23780667,267198.505617978,805543323,30982435.5,0.0295,2106,382499.203703704,22,6261667,0.3574,0.135,0.000899999999999998,"Yes","Yes","Yes",0,"No"
"68","1993","BAL","AL",3,162,85,77,0.525,"N",29096500,342311.764705882,901740134,32205004.7857143,0.0323,2268,397592.651675485,17,5315833,0.2235,-0.024,0.0028,"Yes","No","Yes",-5,"No"
"69","1994","BAL","AL",2,112,63,49,0.562,"N",38849769,616663,927836287,33137010.25,0.0419,1599,580260.342088806,9,9753269,0.3352,0.037,0.0096,"Yes","Yes","Yes",-8,"No"
"70","1995","BAL","AL",3,144,71,73,0.493,"N",43942521,618908.746478873,951469367,33981048.8214286,0.0462,2016,471959.01140873,5,5092752,0.1311,-0.0690000000000001,0.0043,"Yes","No","Yes",-4,"No"
"71","1996","BAL","AL",2,163,88,74,0.543,"Y",54490315,619208.125,956983550,34177983.9285714,0.0569,2266,422322.837599294,1,10547794,0.24,0.05,0.0107,"Yes","Yes","Yes",-4,"No"
"72","1997","BAL","AL",1,162,98,64,0.605,"Y",58516400,597106.12244898,1127285885,40260210.1785714,0.0519,2266,497478.325242718,2,4026085,0.0739,0.0619999999999999,-0.005,"Yes","Yes","No",1,"Yes"
"73","1998","BAL","AL",4,162,79,83,0.488,"N",72355634,915894.101265823,1278282871,42609429.0333333,0.0566,2430,526042.333744856,1,13839234,0.2365,-0.117,0.0047,"Yes","No","Yes",-1,"No"
"74","1999","BAL","AL",4,162,78,84,0.481,"N",80605863,1033408.5,1494228750,49807625,0.0539,2427,615669.035846724,3,8250229,0.114,-0.00700000000000001,-0.00269999999999999,"Yes","No","No",2,"Yes"
"75","2000","BAL","AL",4,162,74,88,0.457,"N",81447435,1100641.01351351,1666135102,55537836.7333333,0.0489,2428,686217.093080725,4,841572,0.0104,-0.024,-0.005,"Yes","No","No",1,"Yes"
"76","2001","BAL","AL",4,162,63,98,0.391,"N",67599540,1073008.57142857,1960663313,65355443.7666667,0.0345,2428,807521.957578254,13,-13847895,-0.17,-0.066,-0.0144,"No","No","No",9,"Yes"
"77","2002","BAL","AL",4,162,67,95,0.414,"N",60493487,902887.865671642,2024077522,67469250.7333333,0.0299,2425,834671.143092784,16,-7106053,-0.1051,0.023,-0.0046,"No","Yes","No",3,"Yes"
"78","2003","BAL","AL",4,163,71,91,0.438,"N",73877500,1040528.16901408,2128262128,70942070.9333333,0.0347,2429,876188.607657472,13,13384013,0.2212,0.024,0.0048,"Yes","Yes","Yes",-3,"No"
"79","2004","BAL","AL",3,162,78,84,0.481,"N",51623333,661837.602564103,2070665943,69022198.1,0.0249,2428,852827.818369028,20,-22254167,-0.3012,0.043,-0.0098,"No","Yes","No",7,"Yes"
"80","2005","BAL","AL",4,162,74,88,0.457,"N",73914333,998842.337837838,2188713398,72957113.2666667,0.0338,2430,900705.102057613,14,22291000,0.4318,-0.024,0.0089,"Yes","No","Yes",-6,"No"
"81","2006","BAL","AL",4,162,70,92,0.432,"N",72585582,1036936.88571429,2321472617,77382420.5666667,0.0313,2429,955731.830794566,15,-1328751,-0.018,-0.025,-0.0025,"No","No","No",1,"Yes"
"82","2007","BAL","AL",4,162,69,93,0.426,"N",93174808,1350359.53623188,2476688987,82556299.5666667,0.0376,2431,1018794.31797614,10,20589226,0.2837,-0.00600000000000001,0.0063,"Yes","No","Yes",-5,"No"
"83","2008","BAL","AL",5,161,68,93,0.422,"N",67196246,988180.088235294,2684858670,89495289,0.025,2428,1105790.22652389,22,-25978562,-0.2788,-0.004,-0.0126,"No","No","No",12,"Yes"
"84","2009","BAL","AL",5,162,64,98,0.395,"N",67101666,1048463.53125,2664726994,88824233.1333333,0.0252,2430,1096595.47078189,23,-94580,-0.0014,-0.027,0.000199999999999999,"No","No","Yes",1,"Yes"
"85","2010","BAL","AL",5,162,66,96,0.407,"N",81612500,1236553.03030303,2721359865,90711995.5,0.03,2430,1119901.17901235,17,14510834,0.2163,0.012,0.0048,"Yes","Yes","Yes",-6,"No"
"86","2011","BAL","AL",5,162,69,93,0.426,"N",85304038,1236290.4057971,2784505291,92816843.0333333,0.0306,2429,1146358.70358172,18,3691538,0.0452,0.019,6e-04,"Yes","Yes","Yes",1,"Yes"
"87","2012","BAL","AL",2,162,93,69,0.574,"Y",77353999,831763.430107527,2932741192,97758039.7333333,0.0264,2430,1206889.37942387,22,-7950039,-0.0932,0.148,-0.0042,"No","Yes","No",4,"Yes"
"88","2013","BAL","AL",3,162,85,77,0.525,"N",84393333,992862.741176471,3034525648,101150854.933333,0.0278,2431,1248262.29864253,17,7039334,0.091,-0.0489999999999999,0.0014,"Yes","No","Yes",-5,"No"
"89","2014","BAL","AL",1,162,96,66,0.593,"Y",103416000,1077250,3192317623,106410587.433333,0.0324,2430,1313710.95596708,13,19022667,0.2254,0.0679999999999999,0.0046,"Yes","Yes","Yes",-4,"No"
"90","2015","BAL","AL",3,162,81,81,0.5,"N",115044833,1420306.58024691,3514142569,117138085.633333,0.0327,2429,1446744.57348703,13,11628833,0.1124,-0.093,0.000300000000000002,"Yes","No","Yes",0,"No"
"91","2016","BAL","AL",2,162,89,73,0.549,"Y",161863456,1818690.51685393,3750137392,125004579.733333,0.0432,2427,1545174.03873094,7,46818623,0.407,0.049,0.0105,"Yes","Yes","Yes",-6,"No"
"92","1985","BOS","AL",5,163,81,81,0.5,"N",10897560,134537.777777778,261964696,10075565.2307692,0.0416,2101,124685.719181342,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","1986","BOS","AL",1,161,95,66,0.59,"Y",14402239,151602.515789474,307854518,11840558.3846154,0.0468,2102,146457.905803996,7,3504679,0.3216,0.09,0.0052,"Yes","Yes","Yes",-3,"No"
"94","1987","BOS","AL",5,162,78,84,0.481,"N",10144167,130053.423076923,272575375,10483668.2692308,0.0372,2105,129489.489311164,17,-4258072,-0.2957,-0.109,-0.0096,"No","No","No",10,"Yes"
"95","1988","BOS","AL",1,162,89,73,0.549,"Y",13896092,156135.865168539,300452424,11555862.4615385,0.0463,2098,143208.972354623,5,3751925,0.3699,0.0680000000000001,0.0091,"Yes","Yes","Yes",-12,"No"
"96","1989","BOS","AL",3,162,83,79,0.512,"N",17481748,210623.469879518,359995711,13845988.8846154,0.0486,2103,171181.983357109,4,3585656,0.258,-0.037,0.0023,"Yes","No","Yes",-1,"No"
"97","1990","BOS","AL",1,162,88,74,0.543,"Y",20558333,233617.420454545,443881193,17072353.5769231,0.0463,2105,210869.925415677,6,3076585,0.176,0.031,-0.0023,"Yes","Yes","No",2,"Yes"
"98","1991","BOS","AL",2,162,84,78,0.519,"N",35167500,418660.714285714,613048418,23578785.3076923,0.0574,2104,291372.822243346,2,14609167,0.7106,-0.024,0.0111,"Yes","No","Yes",-4,"No"
"99","1992","BOS","AL",7,162,73,89,0.451,"N",43610584,597405.260273973,805543323,30982435.5,0.0541,2106,382499.203703704,4,8443084,0.2401,-0.068,-0.0033,"Yes","No","No",2,"Yes"
"100","1993","BOS","AL",5,162,80,82,0.494,"N",37120583,464007.2875,901740134,32205004.7857143,0.0412,2268,397592.651675485,12,-6490001,-0.1488,0.043,-0.0129,"No","Yes","No",8,"Yes"
"101","1994","BOS","AL",4,115,54,61,0.47,"N",37859084,701094.148148148,927836287,33137010.25,0.0408,1599,580260.342088806,11,738501,0.0199,-0.024,-0.000399999999999998,"Yes","No","No",-1,"No"
"102","1995","BOS","AL",1,144,86,58,0.597,"Y",32455518,377389.744186047,951469367,33981048.8214286,0.0341,2016,471959.01140873,17,-5403566,-0.1427,0.127,-0.0067,"No","Yes","No",6,"Yes"
"103","1996","BOS","AL",3,162,85,77,0.525,"N",42393500,498747.058823529,956983550,34177983.9285714,0.0443,2266,422322.837599294,7,9937982,0.3062,-0.072,0.0102,"Yes","No","Yes",-10,"No"
"104","1997","BOS","AL",4,162,78,84,0.481,"N",43558750,558445.512820513,1127285885,40260210.1785714,0.0386,2266,497478.325242718,13,1165250,0.0275,-0.044,-0.0057,"Yes","No","No",6,"Yes"
"105","1998","BOS","AL",2,162,92,70,0.568,"Y",56757000,616923.913043478,1278282871,42609429.0333333,0.0444,2430,526042.333744856,5,13198250,0.303,0.087,0.0058,"Yes","Yes","Yes",-8,"No"
"106","1999","BOS","AL",2,162,94,68,0.58,"Y",63497500,675505.319148936,1494228750,49807625,0.0425,2427,615669.035846724,9,6740500,0.1188,0.012,-0.0019,"Yes","Yes","No",4,"Yes"
"107","2000","BOS","AL",2,162,85,77,0.525,"N",77940333,916945.094117647,1666135102,55537836.7333333,0.0468,2428,686217.093080725,7,14442833,0.2275,-0.0549999999999999,0.0043,"Yes","No","Yes",-2,"No"
"108","2001","BOS","AL",2,161,82,79,0.509,"N",110035833,1341900.40243902,1960663313,65355443.7666667,0.0561,2428,807521.957578254,2,32095500,0.4118,-0.016,0.0093,"Yes","No","Yes",-5,"No"
"109","2002","BOS","AL",2,162,93,69,0.574,"N",108366060,1165226.4516129,2024077522,67469250.7333333,0.0535,2425,834671.143092784,2,-1669773,-0.0152,0.0649999999999999,-0.0026,"No","Yes","No",0,"No"
"110","2003","BOS","AL",2,162,95,67,0.586,"Y",99946500,1052068.42105263,2128262128,70942070.9333333,0.047,2429,876188.607657472,6,-8419560,-0.0777,0.012,-0.0065,"No","Yes","No",4,"Yes"
"111","2004","BOS","AL",2,162,98,64,0.605,"Y",127298500,1298964.28571429,2070665943,69022198.1,0.0615,2428,852827.818369028,2,27352000,0.2737,0.019,0.0145,"Yes","Yes","Yes",-4,"No"
"112","2005","BOS","AL",2,162,95,67,0.586,"Y",123505125,1300053.94736842,2188713398,72957113.2666667,0.0564,2430,900705.102057613,2,-3793375,-0.0298,-0.019,-0.0051,"No","No","No",0,"No"
"113","2006","BOS","AL",3,162,86,76,0.531,"N",120099824,1396509.58139535,2321472617,77382420.5666667,0.0517,2429,955731.830794566,2,-3405301,-0.0276,-0.0549999999999999,-0.0047,"No","No","No",0,"No"
"114","2007","BOS","AL",1,162,96,66,0.593,"Y",143026214,1489856.39583333,2476688987,82556299.5666667,0.0577,2431,1018794.31797614,2,22926390,0.1909,0.0619999999999999,0.006,"Yes","Yes","Yes",0,"No"
"115","2008","BOS","AL",2,162,95,67,0.586,"Y",133390035,1404105.63157895,2684858670,89495289,0.0497,2428,1105790.22652389,4,-9636179,-0.0674,-0.00700000000000001,-0.008,"No","No","No",2,"Yes"
"116","2009","BOS","AL",2,162,95,67,0.586,"Y",121345999,1277326.30526316,2664726994,88824233.1333333,0.0455,2430,1096595.47078189,4,-12044036,-0.0903,0,-0.0042,"No","No","No",0,"No"
"117","2010","BOS","AL",3,162,89,73,0.549,"N",162447333,1825250.93258427,2721359865,90711995.5,0.0597,2430,1119901.17901235,2,41101334,0.3387,-0.0369999999999999,0.0142,"Yes","No","Yes",-2,"No"
"118","2011","BOS","AL",3,162,90,72,0.556,"N",161762475,1797360.83333333,2784505291,92816843.0333333,0.0581,2429,1146358.70358172,3,-684858,-0.0042,0.00700000000000001,-0.0016,"No","Yes","No",1,"Yes"
"119","2012","BOS","AL",5,162,69,93,0.426,"N",173186617,2509950.97101449,2932741192,97758039.7333333,0.0591,2430,1206889.37942387,3,11424142,0.0706,-0.13,0.001,"Yes","No","Yes",0,"No"
"120","2013","BOS","AL",1,162,97,65,0.599,"Y",151530000,1562164.94845361,3034525648,101150854.933333,0.0499,2431,1248262.29864253,4,-21656617,-0.125,0.173,-0.0092,"No","Yes","No",1,"Yes"
"121","2014","BOS","AL",5,162,71,91,0.438,"N",139019929,1958027.16901408,3192317623,106410587.433333,0.0435,2430,1313710.95596708,6,-12510071,-0.0826,-0.161,-0.0064,"No","No","No",2,"Yes"
"122","2015","BOS","AL",5,162,78,84,0.481,"N",181103400,2321838.46153846,3514142569,117138085.633333,0.0515,2429,1446744.57348703,3,42083471,0.3027,0.043,0.008,"Yes","Yes","Yes",-3,"No"
"123","2016","BOS","AL",1,162,93,69,0.574,"Y",188545761,2027373.77419355,3750137392,125004579.733333,0.0503,2427,1545174.03873094,4,7442361,0.0411,0.093,-0.0012,"Yes","Yes","No",1,"Yes"
"124","1985","CAL","AL",2,162,90,72,0.556,"N",14427894,160309.933333333,261964696,10075565.2307692,0.0551,2101,124685.719181342,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","1986","CAL","AL",1,162,92,70,0.568,"Y",14427258,156818.02173913,307854518,11840558.3846154,0.0469,2102,146457.905803996,6,-636,0,0.0119999999999999,-0.00820000000000001,"No","Yes","No",4,"Yes"
"126","1987","CAL","AL",6,162,75,87,0.463,"N",12843499,171246.653333333,272575375,10483668.2692308,0.0471,2105,129489.489311164,7,-1583759,-0.1098,-0.105,0.000200000000000006,"No","No","Yes",1,"Yes"
"127","1988","CAL","AL",4,162,75,87,0.463,"N",11947388,159298.506666667,300452424,11555862.4615385,0.0398,2098,143208.972354623,16,-896111,-0.0698,0,-0.0073,"No","No","No",9,"Yes"
"128","1989","CAL","AL",3,162,91,71,0.562,"N",15097833,165910.252747253,359995711,13845988.8846154,0.0419,2103,171181.983357109,11,3150445,0.2637,0.099,0.0021,"Yes","Yes","Yes",-5,"No"
